1,INT1359,2020,1,1,10,110,0
2,INT1323,2020,2,1,30,140,0
3,INT1306,2020,2,1,10,41,0
4,INT1306,2020,1,2,10,40,0
5,INT1306,2020,1,3,10,40,0
6,ELE1319,2020,2,1,30,100,0
7,BAS1145,2020,1,1,10,50,0
8,BAS1145,2020,2,2,10,50,0
9,BAS1143,2020,2,1,10,50,0
10,BAS1102,2020,2,1,30,100,0
11,ELE1330,2020,1,1,30,100,0
12,BAS1112,2019,1,1,30,110,0
13,BAS1107,2019,2,1,30,140,0
14,BAS1226,2019,1,1,10,41,0
15,BAS1224,2019,1,2,10,40,0
16,BAS1204,2019,2,3,10,40,0
17,BAS1227,2019,1,1,30,100,0
18,BAS1142,2019,1,1,10,50,0
19,BAS1144,2019,2,2,10,50,0
20,BAS1122,2019,1,1,10,50,0
21,ELE1433,2019,1,1,30,100,0
22,INT1339,2019,1,1,30,100,0
23,INT1313,2020,2,3,30,100,0
24,INT1319,2020,2,3,30,80,0
25,INT1330,2020,2,3,30,80,0
26,INT1332,2020,2,3,20,80,0
27,SKD1101,2020,1,1,10,50,0
28,SKD1102,2020,1,1,10,100,0
29,SKD1108,2020,2,2,10,100,0
