1,INT1323,2020,2,1,10,140,0
2,INT1359,2020,2,1,10,140,0
3,ELE1319,2020,2,2,20,100,0
4,BAS1145,2020,2,1,5,50,0
5,BAS1145,2020,2,2,5,50,0
6,BAS1145,2020,2,3,5,50,0
7,INT1306,2020,2,1,5,40,0
8,INT1306,2020,2,2,5,40,0
9,INT1306,2020,2,3,5,40,0
10,INT1306,2020,2,4,5,41,0
11,ELE1330,2020,2,1,20,100,0
12,BAS1102,2020,2,1,80,100,0
13,SKD1103,2021,2,1,20,72,0
14,INT1362,2021,2,1,20,94,0
15,INT1341,2021,2,1,10,110,0
16,INT1340,2021,2,1,10,75,0
17,INT1336,2021,2,1,10,31,0
18,INT1336,2021,2,2,10,31,0
19,INT1328,2021,2,1,10,120,0
20,INT1303,2019,2,1,5,38,0
21,INT1303,2019,2,2,5,37,0
22,INT1303,2019,2,3,5,20,0
23,INT1155,2019,2,1,10,40,0
24,INT1155,2019,2,2,10,40,0
25,BAS1226,2019,2,1,80,100,0
26,BAS1224,2019,2,1,5,25,0
27,BAS1224,2019,2,2,5,25,0
28,BAS1224,2019,2,3,5,25,0
29,BAS1224,2019,2,4,5,25,0
30,BAS1204,2019,2,1,20,90,0
31,BAS1152,2019,2,1,80,175,0
32,BAS1151,2019,2,1,80,175,0
33,BAS1143,2019,2,1,10,50,0
34,BAS1141,2019,2,1,10,50,0
35,BAS1107,2019,2,1,10,110,0
